City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Minna,9.6139,6.5569,79.65,66,100,5.39,NG,1650939128
Jalu,29.0331,21.5482,73.49,20,100,9.44,LY,1650939039
Rikitea,-23.1203,-134.9692,75.94,74,96,19.35,PF,1650939129
Acaraú,-2.8856,-40.12,77.74,86,49,10.42,BR,1650939129
Port Elizabeth,-33.918,25.5701,57.31,82,0,7,ZA,1650939130
Bluff,-46.6,168.3333,52.81,82,100,24.74,NZ,1650939130
Hobart,-42.8794,147.3294,62.22,71,40,4.61,AU,1650939131
Tres Arroyos,-38.3739,-60.2798,54.12,29,35,5.77,AR,1650939131
Albany,42.6001,-73.9662,56.55,43,95,1.99,US,1650939131
Makakilo City,21.3469,-158.0858,79.12,61,75,14.97,US,1650939132
Pringsewu,-5.3582,104.9744,82.18,76,100,1.14,ID,1650939132
Taltal,-25.4,-70.4833,62.55,86,32,4.14,CL,1650939133
Nhulunbuy,-12.2333,136.7667,90.21,58,75,9.22,AU,1650939036
Lebu,-37.6167,-73.65,55.67,80,100,27.94,CL,1650939133
Ushuaia,-54.8,-68.3,40.66,70,40,16.11,AR,1650939013
Alice Springs,-23.7,133.8833,72.95,53,60,6.91,AU,1650939133
Itarema,-2.9248,-39.9167,77.49,87,85,8.9,BR,1650939114
Punta Arenas,-53.15,-70.9167,33.91,75,20,6.91,CL,1650939006
Arrondissement de Bourges,47.25,2.4167,49.59,88,98,4.23,FR,1650939134
Dikson,73.5069,80.5464,11.62,93,100,4,RU,1650938880
Smithers,54.7804,-127.1743,46.72,61,75,0,CA,1650938917
Katobu,-4.9408,122.5276,86.58,62,92,2.98,ID,1650939135
Grindavik,63.8424,-22.4338,43.27,87,100,3.44,IS,1650939135
Anadyr,64.75,177.4833,30.7,80,40,26.84,RU,1650939135
Alyangula,-13.8483,136.4192,85.19,67,65,6.51,AU,1650939136
El Alto,-4.2714,-81.2147,66.85,84,80,14.92,PE,1650939137
Tytuvėnai,55.6,23.2,37.31,92,87,6.15,LT,1650939137
Ambon City,-3.6954,128.1814,95.14,59,40,4.61,ID,1650939137
Port Hardy,50.6996,-127.4199,46.26,73,48,6.76,CA,1650938937
Mulchén,-37.7167,-72.2333,52.84,81,100,11.9,CL,1650939138
Saldanha,-33.0117,17.9442,55.51,77,99,10.36,ZA,1650939138
Jamestown,42.097,-79.2353,58.01,78,100,9.22,US,1650939138
Yulara,-25.2406,130.9889,76.84,44,56,6.91,AU,1650939139
Kapaa,22.0752,-159.319,80.58,89,40,17.27,US,1650939139
Narsaq,60.9167,-46.05,37.62,90,98,1.52,GL,1650939124
Paamiut,61.994,-49.6678,28.96,89,100,2.35,GL,1650939139
Busselton,-33.65,115.3333,66.74,51,72,15.19,AU,1650938886
Port Alfred,-33.5906,26.891,57.38,81,5,11.63,ZA,1650939140
Oshawa,43.9001,-78.8496,53.69,89,100,4.61,CA,1650938844
Katsuura,35.1333,140.3,69.82,85,100,15.9,JP,1650939140
Hambantota,6.1241,81.1185,81,82,17,4.09,LK,1650939055
College,64.8569,-147.8028,52.12,36,75,4.61,US,1650938965
Palm Coast,29.585,-81.2078,75,83,0,13,US,1650939062
Chokurdakh,70.6333,147.9167,13.75,87,21,3.27,RU,1650938882
Kitale,1.0157,35.0062,58.42,97,100,4.23,KE,1650939141
Tiksi,71.6872,128.8694,6.89,89,63,1.79,RU,1650938979
Edd,13.9297,41.6925,87.22,60,29,9.13,ER,1650939141
Nanga Eboko,4.6833,12.3667,69.57,99,100,0.94,CM,1650939141
Ancud,-41.8697,-73.8203,49.23,81,100,23.6,CL,1650939142
Airai,-8.9266,125.4092,73.62,41,98,1.99,TL,1650939142
Rawson,-43.3002,-65.1023,57.38,36,90,31.43,AR,1650939051
Vanavara,60.34,102.2797,32.63,67,90,6.06,RU,1650939142
Cayenne,4.9333,-52.3333,78.1,1,75,0,GF,1650939136
Salinópolis,-0.6136,-47.3561,78.53,88,95,9.57,BR,1650939143
Saryg-Sep,51.5,95.6,37.17,28,100,2.75,RU,1650939143
Bam,29.106,58.357,77.81,24,62,7.58,IR,1650939143
Cabra,37.4725,-4.4421,54.48,73,100,3.18,ES,1650939144
Boende,-0.2167,20.8667,70.09,91,100,0.85,CD,1650939144
Bredasdorp,-34.5322,20.0403,52.29,83,4,3.33,ZA,1650939144
Puerto Ayora,-0.7393,-90.3518,71.35,92,91,6.06,EC,1650939145
Butaritari,3.0707,172.7902,80.49,83,26,12.55,KI,1650939145
Jasper,37.2001,-94.3502,53.65,64,0,0,US,1650939145
Yellowknife,62.456,-114.3525,38.16,90,100,10.65,CA,1650938913
Nichinan,31.6,131.3667,77.34,79,100,15.79,JP,1650939146
Anchorage,61.2181,-149.9003,56.28,58,0,12.66,US,1650938889
Cherskiy,68.75,161.3,30.29,72,100,4.47,RU,1650939146
East London,-33.0153,27.9116,59.07,74,1,10.54,ZA,1650939146
Vestmanna,62.1564,-7.1664,36.52,75,100,1.14,FO,1650939147
Souillac,-20.5167,57.5167,75.58,83,75,11.5,MU,1650938963
Xapuri,-10.6517,-68.5044,74.61,94,100,1.14,BR,1650939147
Margate,51.3813,1.3862,47.7,78,28,7,GB,1650939147
Vestmannaeyjar,63.4427,-20.2734,44.98,85,92,9.37,IS,1650939148
Urengoy,65.9667,78.3667,14.63,93,77,7.76,RU,1650939148
Provideniya,64.3833,-173.3,28.51,74,75,20.13,RU,1650939126
Sibolga,1.7427,98.7792,77.52,94,100,5.68,ID,1650939148
Barrow,71.2906,-156.7887,15.82,73,40,12.66,US,1650938952
Hilo,19.7297,-155.09,79.29,79,100,5.75,US,1650938851
Le Vauclin,14.5452,-60.8388,77.85,88,100,4.61,MQ,1650939149
Alekseyevka,50.6309,38.6903,52.57,73,10,4.23,RU,1650939149
Thompson,55.7435,-97.8558,17.31,90,100,2.8,CA,1650939150
Half Moon Bay,37.4636,-122.4286,67.41,75,75,27.63,US,1650939150
Lorengau,-2.0226,147.2712,83.59,74,14,8.34,PG,1650939037
Upernavik,72.7868,-56.1549,10.42,90,53,4.59,GL,1650939013
Mahanoro,-19.9,48.8,70.81,88,44,2.55,MG,1650939150
Grand Gaube,-20.0064,57.6608,75.6,71,57,20.31,MU,1650939033
Fortuna,40.5982,-124.1573,56.08,80,100,4,US,1650939151
Portland,45.5234,-122.6762,57.52,75,100,6.91,US,1650939104
Jiangyou,31.7667,104.7167,76.51,52,17,4.94,CN,1650939151
Hofn,64.2539,-15.2082,39.27,96,100,6.44,IS,1650938977
Centralia,46.7162,-122.9543,54.34,68,100,5.75,US,1650938583
Vao,-22.6667,167.4833,74.86,57,100,18.52,NC,1650938973
Hermanus,-34.4187,19.2345,55.31,76,1,5.84,ZA,1650938883
Sun Valley,39.5963,-119.776,65.08,28,40,16.11,US,1650939152
Cidreira,-30.1811,-50.2056,67.8,94,100,16.06,BR,1650939113
Yangi Marg`ilon,40.4272,71.7189,61.52,67,100,4.61,UZ,1650938990
Korem,12.5058,39.5228,54.54,76,62,2.62,ET,1650939152
Korla,41.7597,86.1469,63.52,14,100,8.48,CN,1650939153
Zaraza,9.3503,-65.3245,78.67,78,76,8.88,VE,1650939153
Amahai,-3.3333,128.9167,84.56,71,60,3.11,ID,1650939153
Bambous Virieux,-20.3428,57.7575,75.45,83,75,11.5,MU,1650938875
Lafia,8.4833,8.5167,78.4,70,100,3.22,NG,1650939154
Dekar,-21.5333,21.9333,60.08,61,0,8.41,BW,1650939154
Leningradskiy,69.3833,178.4167,21.69,89,89,13.87,RU,1650939154
